Artist,Title,Date,Period,Description,Material,Dimensions,Collection,Classification,Signature,Accession Number,link,Alternative Title,Place Made,Subject
David Michie,Standing Male Nude,1952,20th century; 1950s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2260,https://collections.ed.ac.uk/art/record/21386?highlight=*:*,NA,NA,NA
David Michie,Portrait of a Man,1952,20th century; 1950s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2259,https://collections.ed.ac.uk/art/record/21385?highlight=*:*,NA,NA,NA
David Michie,Portrait of a Man,1952,20th century; 1950s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2258,https://collections.ed.ac.uk/art/record/21384?highlight=*:*,NA,NA,NA
David Michie,Standing Female Nude,Circa 1952,20th century; 1940s; 1950s,Gained his Diplioma from ECA in 1952 and PG in 1953.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1910,https://collections.ed.ac.uk/art/record/21037?highlight=*:*,NA,NA,NA
David Michie,Standing Male Nude with Staff,Circa 1952,20th century; 1940s; 1950s,Gained his Diplioma from ECA in 1952 and PG in 1953.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1908,https://collections.ed.ac.uk/art/record/21035?highlight=*:*,NA,NA,NA
David Michie,Drawing of Reclining Nude Sculpture,15 May 1950,20th century; 1950s,Gained his Diplioma from ECA in 1952 and PG in 1953.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1909,https://collections.ed.ac.uk/art/record/21036?highlight=*:*,NA,NA,NA
David Michie,Life Painting,Circa 1952,20th century; 1940s; 1950s,NA,oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),61 x 91.4 cm,Art Collection; Edinburgh College of Art,NA,NA,EU1610,https://collections.ed.ac.uk/art/record/20737?highlight=*:*,Reclining Male Nude,NA,NA
David Rifat,Portrait of a Woman,1958,20th century; 1950s,Gained his Diploma in 1958 and PG in 1959 from ECA.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1745,https://collections.ed.ac.uk/art/record/20872?highlight=*:*,NA,NA,NA
David Rifat,Seated Female Nude,1958,20th century; 1950s,Gained his Diploma in 1958 and PG in 1959 from ECA.,Pen and Wash/Drawing,NA,Art Collection; Edinburgh College of Art,NA,NA,EU1746,https://collections.ed.ac.uk/art/record/20873?highlight=*:*,NA,NA,NA
David Rifat,Standing Male Nude,1958,20th century; 1950s,Gained his Diploma in 1958 and PG in 1959 from ECA.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1747,https://collections.ed.ac.uk/art/record/20874?highlight=*:*,NA,NA,NA
David Rifat,Reclining Male Nude,1958,20th century; 1950s,Gained his Diploma in 1958 and PG in 1959 from ECA.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1748,https://collections.ed.ac.uk/art/record/20875?highlight=*:*,NA,NA,NA
David Rifat,Still Life with Striped Cloth and Pots,NA,20th century; 1950s; 1960s,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3247,https://collections.ed.ac.uk/art/record/22691?highlight=*:*,NA,NA,NA
David Young,Drawing of a Skeleton,Circa 1957,20th century; 1950s; 1960s,Gained his Diploma from ECA in 1957.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1734,https://collections.ed.ac.uk/art/record/20861?highlight=*:*,NA,NA,NA
Deborah Eadie,Untitled,1962,NA,"Portrait of an elderly female, head and shoulders, looking to her right with a disdainful expression. Minimal background, partially painted in muted grey and brown.",charcoal (material)/plant material/materials (substances); paint (coating),23.5cm (H) x 15.5cm (W),Art Collection; Edinburgh College of Art,mixed media works; paintings (visual works); drawings (visual works); charcoal drawings,"Front, bottom right: Eadie 62 Reverse, bottom left: Deborah Eadie Diploma '62",EU4259,https://collections.ed.ac.uk/art/record/99495?highlight=*:*,NA,NA,NA
Deborah Eadie,Peets,1963,20th century; 1960s,Part of Eadie's 1963 postgraduate degree portfolio.,chalk,31cm H x 45.9cm W (with mount) 23.3cm H x 38.8cm W (without mount),Art Collection; Edinburgh College of Art,drawings (visual works); chalk drawings,NA,EU2629,https://collections.ed.ac.uk/art/record/21754?highlight=*:*,NA,NA,NA
Delia M Surplice,Craigleith Island July '92,1992,20th century; 1990s,Abstract drawing with pen & ink and chalk of seaguls on Craigleith lsland.,Pen and Wash/Drawing,NA,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); drawings (visual works); chalk drawings; drawings 1901-2000; pen and wash drawings; ink,"'Delia Surplice 1993' written on reverse centre, 'WP90 28' written on reverse top right.",EU4179,https://collections.ed.ac.uk/art/record/99415?highlight=*:*,NA,NA,NA
Denness Morton (d.2011),Sketches of Five Heads,1959,20th century; 1950s,Gained Diploma in 1959 and PG in 1960 from ECA.,Pen and Wash/Drawing,NA,Art Collection; Edinburgh College of Art,NA,NA,EU1759,https://collections.ed.ac.uk/art/record/20886?highlight=*:*,NA,NA,NA
Denness Morton (d.2011),Portrait of Standing Woman wearing Overalls,1959,20th century; 1950s,Gained Diploma in 1959 and PG in 1960 from ECA.,paper (fibre product); watercolour (paint)/paint (coating); ink/coating (material)/materials (substances),NA,Art Collection; Edinburgh College of Art,pen and wash drawings,NA,EU1762,https://collections.ed.ac.uk/art/record/20889?highlight=*:*,NA,NA,NA
Denness Morton (d.2011),Seated Female Nude,1959,20th century; 1950s,Gained Diploma in 1959 and PG in 1960 from ECA.,Pen and Wash/Drawing,NA,Art Collection; Edinburgh College of Art,NA,NA,EU1761,https://collections.ed.ac.uk/art/record/20888?highlight=*:*,NA,NA,NA
Denness Morton (d.2011),Portrait of a Young Woman Sketching,1959,20th century; 1950s,Gained Diploma in 1959 and PG in 1960 from ECA.,paper (fibre product); watercolour (paint)/paint (coating); ink/coating (material)/materials (substances),NA,Art Collection; Edinburgh College of Art,pen and wash drawings,NA,EU1760,https://collections.ed.ac.uk/art/record/20887?highlight=*:*,NA,NA,NA
Denness Morton (d.2011),Abstracted Guitar Player,1960,20th century; 1960s,Gained Diploma in 1959 and PG in 1960 from ECA.,oil paint (paint)/paint (coating); paper (fibre product),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1955,https://collections.ed.ac.uk/art/record/21082?highlight=*:*,NA,NA,NA
Denness Morton (d.2011),Abstract,1960,20th century; 1960s,Gained Diploma in 1959 and PG in 1960 from ECA.,oil paint (paint)/paint (coating); paper (fibre product),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1956,https://collections.ed.ac.uk/art/record/21083?highlight=*:*,NA,NA,NA
Denness Morton (d.2011),Two Female Heads,1959,20th century; 1950s,Gained Diploma in 1959 and PG in 1960 from ECA.,Pen and Wash/Drawing,NA,Art Collection; Edinburgh College of Art,NA,NA,EU1950,https://collections.ed.ac.uk/art/record/21077?highlight=*:*,NA,NA,NA
Denness Morton (d.2011),Abstract Still Life with Jug and Fruit Bowl,1959,20th century; 1950s,Gained Diploma in 1959 and PG in 1960 from ECA.,oil paint (paint)/paint (coating); paper (fibre product),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1953,https://collections.ed.ac.uk/art/record/21080?highlight=*:*,NA,NA,NA
Denness Morton (d.2011),Sunset,1959,20th century; 1950s,Gained Diploma in 1959 and PG in 1960 from ECA.,watercolour (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1954,https://collections.ed.ac.uk/art/record/21081?highlight=*:*,NA,NA,NA
Denness Morton (d.2011),Four Female Heads,1959,20th century; 1950s,Gained Diploma in 1959 and PG in 1960 from ECA.,Pen and Wash/Drawing,NA,Art Collection; Edinburgh College of Art,NA,NA,EU1951,https://collections.ed.ac.uk/art/record/21078?highlight=*:*,NA,NA,NA
Denness Morton (d.2011),Seated Male Nude,1959,20th century; 1950s,Gained Diploma in 1959 and PG in 1960 from ECA.,Pen and Wash/Drawing,NA,Art Collection; Edinburgh College of Art,NA,NA,EU1952,https://collections.ed.ac.uk/art/record/21079?highlight=*:*,NA,NA,NA
Denness Morton (d.2011),Unknown,1960,1960s; 20th century,"Semi abstracted still life with table taking up majority of composition. Glass to right of composition, red and pink object, possibly meat, to left.",oil paint (paint)/paint (coating),49.4cm (W) x 39.4cm (H),Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3638,https://collections.ed.ac.uk/art/record/53547?highlight=*:*,NA,NA,NA
Denness Morton (d.2011),Male Portrait,1959,20th century; 1950s,Possibly a self-portrait,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3266,https://collections.ed.ac.uk/art/record/22710?highlight=*:*,NA,NA,NA
Derek Maguire,Harbour scene,NA,NA,Ink and coloured pencil drawing of a habour scene (Leith docks?),NA,Mount: 57.8cm x 77.7cm Drawing: 38.6cm x 56cm,Art Collection; Edinburgh College of Art,NA,NA,EU5655,https://collections.ed.ac.uk/art/record/102744?highlight=*:*,NA,NA,NA
Derek McGuire,Harbour at Night,NA,NA,NA,paint (coating),NA,Art Collection; Edinburgh College of Art,paintings (visual works),NA,EU2385,https://collections.ed.ac.uk/art/record/21511?highlight=*:*,NA,NA,NA
Derek McGuire,Unknown,NA,20th century,"Figure and greyhound in foreground, more greyhounds in background. White and grey",paint (coating); Conté/Drawing,30cm (W) x 42cm (H),Art Collection; Edinburgh College of Art,drawings (visual works),NA,EU3357,https://collections.ed.ac.uk/art/record/50431?highlight=*:*,NA,NA,NA
Derek McGuire,Untitled,Unknown,NA,Etching and aquatint. People at a horse race.,NA,50cm H x 64.5cm W,Art Collection; Edinburgh College of Art,NA,Derek Mcguire signature,EU2789,https://collections.ed.ac.uk/art/record/21912?highlight=*:*,NA,NA,NA
Derek Reid,Untitled,NA,NA,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3281,https://collections.ed.ac.uk/art/record/22725?highlight=*:*,NA,NA,NA
Derek Reid,Untitled,Unknown,NA,Pencil drawing of an empty room,NA,49cm H x 64cm W (with mount) 41.6cm H x 58.6cm W (without mount),Art Collection; Edinburgh College of Art,pencil drawings,Derek Reid signature on mount,EU2517,https://collections.ed.ac.uk/art/record/21642?highlight=*:*,NA,NA,NA
Derek Shiel,Four Standing Male Nudes,1960,20th century; 1960s,NA,Pen and Wash/Drawing,NA,Art Collection; Edinburgh College of Art,NA,NA,EU1689,https://collections.ed.ac.uk/art/record/20816?highlight=*:*,NA,NA,NA
Derek Shiel,Standing Male Nude with Staff,1960,20th century; 1960s,NA,Pen and Wash/Drawing,NA,Art Collection; Edinburgh College of Art,NA,NA,EU1688,https://collections.ed.ac.uk/art/record/20815?highlight=*:*,NA,NA,NA
Derek Shiel,Portrait of a Bearded Man,Circa 1960,20th century; 1950s; 1960s,Gained his Diploma in 1960 from ECA.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1812,https://collections.ed.ac.uk/art/record/20939?highlight=*:*,NA,NA,NA
Diana Douglas-Hamilton,Seated Female Nude,1953,20th century; 1950s,Gained her Diploma in 1953 from ECA.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1800,https://collections.ed.ac.uk/art/record/20927?highlight=*:*,NA,NA,NA
Diana Douglas-Hamilton,Seated Male Nude,1953,20th century; 1950s,Gained her Diploma in 1953 from ECA.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1801,https://collections.ed.ac.uk/art/record/20928?highlight=*:*,NA,NA,NA
